afTimesInSeconds	afPressures1	afPressures2	afPressures3	afPressures4	afPressures5	afPressures6	afPressures7	afPressures8	afAveragePressure	abActiveZones
25.839	0.000	-4.000	-4.000	-3.000	-3.000	0.000	0.000	-1.000	-2.129	0.000
26.018	0.000	-4.000	-4.000	-3.000	-3.000	0.000	0.000	-1.000	-2.129	0.000
26.200	0.000	-3.000	-4.000	-3.000	-3.000	0.000	0.000	0.000	-1.880	0.000
26.316	0.000	-2.000	-3.000	-2.000	-2.000	1.000	0.000	0.000	-1.166	0.000
26.504	0.000	-2.000	-3.000	-1.000	-2.000	1.000	0.000	0.000	-1.034	0.000
26.621	0.000	2.000	1.000	2.000	1.000	3.000	0.000	0.000	1.250	0.000
26.738	0.000	2.000	1.000	3.000	1.000	3.000	-1.000	-1.000	1.107	0.000
26.855	0.000	2.000	1.000	3.000	1.000	3.000	-1.000	-1.000	1.107	0.000
26.978	0.000	2.000	1.000	3.000	1.000	2.000	-2.000	-2.000	0.690	0.000
27.098	0.000	2.000	1.000	3.000	2.000	2.000	-2.000	-3.000	0.715	0.000
27.278	0.000	2.000	0.000	2.000	2.000	2.000	-3.000	-3.000	0.275	0.000
27.396	0.000	0.000	0.000	2.000	2.000	2.000	-3.000	-3.000	0.040	0.000
27.521	0.000	-1.000	-2.000	0.000	0.000	1.000	-2.000	-3.000	-0.986	0.000
27.708	0.000	-1.000	-2.000	0.000	-1.000	1.000	-2.000	-3.000	-1.142	0.000
27.879	0.000	-1.000	-2.000	0.000	0.000	1.000	-2.000	-2.000	-0.854	0.000
27.997	0.000	-2.000	-2.000	-1.000	-2.000	1.000	-1.000	-1.000	-1.142	0.000
28.115	0.000	-2.000	-3.000	-2.000	-2.000	0.000	-1.000	-1.000	-1.583	0.000
28.241	0.000	-2.000	-3.000	-2.000	-2.000	0.000	-1.000	-1.000	-1.583	0.000
28.418	0.000	-2.000	-2.000	-1.000	-2.000	0.000	-1.000	-1.000	-1.285	0.000
28.721	0.000	-2.000	-3.000	-2.000	-2.000	0.000	-1.000	-1.000	-1.583	0.000
28.836	0.000	-2.000	-3.000	-1.000	-2.000	1.000	-1.000	-1.000	-1.308	0.000
29.085	0.000	0.000	-1.000	0.000	0.000	2.000	0.000	-1.000	-0.011	0.000
29.204	0.000	1.000	0.000	1.000	0.000	2.000	0.000	-1.000	0.404	0.000
29.320	0.000	1.000	0.000	2.000	0.000	2.000	0.000	-1.000	0.535	0.000
29.438	0.000	2.000	0.000	2.000	0.000	1.000	-1.000	-2.000	0.236	0.000
29.557	0.000	1.000	0.000	2.000	0.000	1.000	-1.000	-2.000	0.118	0.000
29.678	0.000	1.000	0.000	2.000	1.000	2.000	0.000	-1.000	0.692	0.000
29.799	0.000	1.000	0.000	2.000	2.000	4.000	2.000	-1.000	1.419	0.000
29.916	0.000	1.000	1.000	5.000	3.000	7.000	4.000	-1.000	2.851	1.000
30.035	0.000	2.000	2.000	7.000	7.000	12.000	8.000	0.000	5.441	1.000
